time,r,u,y,sweep_chirp
0.00,0.000000,0.000000,0.000000,0.000000
0.01,0.062791,0.062791,0.006279,0.062791
0.02,0.125333,0.125333,0.018185,0.125333
0.03,0.187381,0.187381,0.035105,0.187381
0.04,0.248690,0.248690,0.056464,0.248690
0.05,0.309017,0.309017,0.081720,0.309017
0.06,0.368125,0.368125,0.110360,0.368125
0.07,0.425779,0.425779,0.141902,0.425779
0.08,0.481754,0.481754,0.175888,0.481754
0.09,0.535827,0.535827,0.211882,0.535827
0.10,0.587785,0.587785,0.249472,0.587785
0.11,0.637424,0.637424,0.288267,0.637424
0.12,0.684547,0.684547,0.327895,0.684547
0.13,0.728969,0.728969,0.368002,0.728969
0.14,0.770513,0.770513,0.408253,0.770513
0.15,0.809017,0.809017,0.448329,0.809017
0.16,0.844328,0.844328,0.487929,0.844328
0.17,0.876307,0.876307,0.526767,0.876307
0.18,0.904827,0.904827,0.564573,0.904827
0.19,0.929776,0.929776,0.601094,0.929776
0.20,0.951057,0.951057,0.636090,0.951057
0.21,0.968583,0.968583,0.669339,0.968583
0.22,0.982287,0.982287,0.700634,0.982287
0.23,0.992115,0.992115,0.729782,0.992115
0.24,0.998027,0.998027,0.756607,0.998027
0.25,1.000000,1.000000,0.780946,1.000000
0.26,0.998027,0.998027,0.802654,0.998027
0.27,0.992115,0.992115,0.821605,0.992115
0.28,0.982287,0.982287,0.837692,0.982287
0.29,0.968583,0.968583,0.850827,0.968583
0.30,0.951057,0.951057,0.860944,0.951057
